,certifications,workshops,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,worked in teams ever?,Suggested Job Role
1775,machine learning,game development,poor,Management,testing,Web Services,no,Mobile Applications Developer
1776,hadoop,system designing,poor,hacking,testing,product development,no,Mobile Applications Developer
1777,full stack,hacking,medium,cloud computing,Business process analyst,product development,no,Mobile Applications Developer
1778,machine learning,game development,excellent,Software Engineering,developer,Cloud Services,no,Mobile Applications Developer
1779,machine learning,web technologies,medium,IOT,security,product development,yes,Mobile Applications Developer
1780,app development,hacking,poor,programming,system developer,Testing and Maintainance Services,no,Mobile Applications Developer
1781,app development,game development,excellent,parallel computing,security,product development,yes,Mobile Applications Developer
1782,r programming,testing,excellent,IOT,developer,Finance,yes,Mobile Applications Developer
1783,shell programming,testing,excellent,data engineering,testing,Service Based,yes,Mobile Applications Developer
1784,r programming,system designing,medium,programming,system developer,Finance,yes,Mobile Applications Developer
1785,python,cloud computing,medium,IOT,system developer,BPA,no,Mobile Applications Developer
1786,full stack,database security,excellent,Management,Business process analyst,Finance,no,Mobile Applications Developer
1787,distro making,cloud computing,medium,hacking,system developer,Finance,no,Mobile Applications Developer
1788,machine learning,hacking,excellent,Computer Architecture,testing,Sales and Marketing,yes,Mobile Applications Developer
1789,machine learning,system designing,medium,parallel computing,system developer,product development,yes,Mobile Applications Developer
1790,distro making,cloud computing,excellent,networks,testing,Product based,yes,Mobile Applications Developer
1791,r programming,database security,medium,programming,security,Testing and Maintainance Services,no,Mobile Applications Developer
1792,information security,data science,poor,networks,system developer,Cloud Services,no,Mobile Applications Developer
1793,shell programming,cloud computing,medium,programming,cloud computing,Sales and Marketing,no,Mobile Applications Developer
1794,hadoop,testing,poor,hacking,Business process analyst,Finance,yes,Mobile Applications Developer
1795,distro making,testing,medium,Management,security,Cloud Services,no,Mobile Applications Developer
1796,distro making,cloud computing,excellent,Management,system developer,BPA,no,Mobile Applications Developer
1797,shell programming,data science,poor,Computer Architecture,system developer,SAaS services,yes,Mobile Applications Developer
1798,r programming,game development,excellent,Management,system developer,Sales and Marketing,no,Mobile Applications Developer
1799,r programming,web technologies,excellent,hacking,system developer,BPA,no,Mobile Applications Developer
1800,python,hacking,poor,Management,Business process analyst,product development,no,Mobile Applications Developer
1801,machine learning,testing,poor,networks,cloud computing,Web Services,yes,Mobile Applications Developer
1802,shell programming,hacking,medium,Computer Architecture,testing,Service Based,yes,Mobile Applications Developer
1803,shell programming,game development,medium,networks,cloud computing,Service Based,yes,Mobile Applications Developer
1804,python,hacking,excellent,parallel computing,security,product development,no,Mobile Applications Developer
1805,machine learning,data science,medium,parallel computing,developer,Web Services,yes,Mobile Applications Developer
1806,information security,cloud computing,poor,IOT,Business process analyst,Product based,yes,Mobile Applications Developer
1807,r programming,cloud computing,medium,Computer Architecture,testing,product development,no,Mobile Applications Developer
1808,python,web technologies,excellent,IOT,Business process analyst,Sales and Marketing,no,Mobile Applications Developer
1809,shell programming,cloud computing,poor,IOT,developer,Testing and Maintainance Services,yes,Mobile Applications Developer
1810,shell programming,cloud computing,excellent,IOT,testing,Web Services,no,Mobile Applications Developer
1811,app development,cloud computing,medium,Software Engineering,testing,BPA,yes,Mobile Applications Developer
1812,information security,web technologies,poor,Management,security,Sales and Marketing,yes,Mobile Applications Developer
1813,r programming,web technologies,excellent,hacking,testing,Product based,no,Mobile Applications Developer
1814,hadoop,system designing,poor,IOT,system developer,Product based,no,Mobile Applications Developer
1815,information security,web technologies,medium,data engineering,cloud computing,Product based,yes,Mobile Applications Developer
1816,python,data science,medium,cloud computing,security,Cloud Services,yes,Mobile Applications Developer
1817,machine learning,data science,poor,Software Engineering,Business process analyst,SAaS services,no,Mobile Applications Developer
1818,distro making,game development,medium,Software Engineering,Business process analyst,Finance,no,Mobile Applications Developer
1819,hadoop,system designing,medium,cloud computing,system developer,Service Based,no,Mobile Applications Developer
1820,python,system designing,medium,programming,security,Finance,yes,Mobile Applications Developer
1821,machine learning,cloud computing,medium,networks,cloud computing,Testing and Maintainance Services,yes,Mobile Applications Developer
1822,distro making,web technologies,excellent,IOT,security,Finance,yes,Mobile Applications Developer
1823,r programming,system designing,poor,hacking,developer,Testing and Maintainance Services,yes,Mobile Applications Developer
1824,information security,testing,poor,data engineering,Business process analyst,Cloud Services,yes,Mobile Applications Developer
1825,python,database security,excellent,Computer Architecture,cloud computing,Finance,yes,Mobile Applications Developer
1826,python,system designing,excellent,IOT,security,BPA,no,Mobile Applications Developer
1827,python,database security,medium,cloud computing,developer,BPA,yes,Mobile Applications Developer
1828,python,cloud computing,poor,programming,testing,Testing and Maintainance Services,yes,Mobile Applications Developer
1829,hadoop,hacking,medium,cloud computing,system developer,BPA,yes,Mobile Applications Developer
1830,full stack,testing,excellent,programming,system developer,BPA,no,Mobile Applications Developer
1831,machine learning,system designing,poor,Software Engineering,testing,Sales and Marketing,yes,Mobile Applications Developer
1832,python,data science,poor,Software Engineering,system developer,BPA,yes,Mobile Applications Developer
1833,python,cloud computing,medium,networks,developer,Service Based,no,Mobile Applications Developer
1834,machine learning,web technologies,poor,hacking,testing,product development,yes,Mobile Applications Developer
1835,machine learning,system designing,medium,hacking,cloud computing,product development,yes,Mobile Applications Developer
1836,hadoop,hacking,medium,Computer Architecture,developer,product development,yes,Mobile Applications Developer
1837,full stack,hacking,medium,Software Engineering,developer,Service Based,no,Mobile Applications Developer
1838,full stack,database security,medium,programming,developer,Cloud Services,yes,Mobile Applications Developer
1839,app development,game development,excellent,hacking,cloud computing,product development,no,Mobile Applications Developer
1840,machine learning,cloud computing,medium,parallel computing,cloud computing,product development,no,Mobile Applications Developer
1841,information security,web technologies,poor,data engineering,developer,Product based,no,Mobile Applications Developer
1842,shell programming,testing,medium,parallel computing,system developer,Cloud Services,yes,Mobile Applications Developer
1843,distro making,web technologies,medium,programming,developer,Service Based,no,Mobile Applications Developer
1844,app development,web technologies,medium,IOT,testing,Web Services,no,Mobile Applications Developer
1845,information security,cloud computing,poor,programming,security,SAaS services,no,Mobile Applications Developer
1846,full stack,web technologies,excellent,cloud computing,developer,Web Services,yes,Mobile Applications Developer
1847,hadoop,system designing,medium,IOT,security,BPA,yes,Mobile Applications Developer
1848,r programming,system designing,medium,programming,security,Finance,yes,Mobile Applications Developer
1849,shell programming,cloud computing,excellent,cloud computing,Business process analyst,Product based,yes,Mobile Applications Developer
1850,machine learning,data science,poor,IOT,cloud computing,Service Based,no,Mobile Applications Developer
1851,information security,hacking,medium,Management,testing,BPA,yes,Mobile Applications Developer
1852,distro making,hacking,poor,programming,Business process analyst,BPA,yes,Mobile Applications Developer
1853,app development,database security,poor,data engineering,security,Service Based,no,Mobile Applications Developer
1854,r programming,data science,medium,programming,cloud computing,Finance,yes,Mobile Applications Developer
1855,python,hacking,excellent,networks,cloud computing,product development,no,Mobile Applications Developer
1856,full stack,game development,excellent,data engineering,security,Sales and Marketing,no,Mobile Applications Developer
1857,python,system designing,excellent,cloud computing,security,product development,yes,Mobile Applications Developer
1858,full stack,hacking,poor,parallel computing,cloud computing,Service Based,no,Mobile Applications Developer
1859,hadoop,web technologies,medium,Management,security,product development,yes,Mobile Applications Developer
1860,hadoop,cloud computing,medium,hacking,Business process analyst,BPA,no,Mobile Applications Developer
1861,machine learning,testing,poor,data engineering,Business process analyst,Service Based,yes,Mobile Applications Developer
1862,python,testing,medium,IOT,cloud computing,product development,yes,Mobile Applications Developer
1863,app development,database security,medium,networks,Business process analyst,Cloud Services,no,Mobile Applications Developer
1864,information security,hacking,medium,programming,system developer,Cloud Services,no,Mobile Applications Developer
1865,app development,hacking,poor,IOT,system developer,Testing and Maintainance Services,no,Mobile Applications Developer
1866,hadoop,cloud computing,medium,cloud computing,Business process analyst,Service Based,yes,Mobile Applications Developer
1867,full stack,hacking,excellent,programming,testing,Product based,no,Mobile Applications Developer
1868,shell programming,database security,medium,hacking,Business process analyst,Web Services,yes,Mobile Applications Developer
1869,r programming,game development,medium,Computer Architecture,testing,SAaS services,no,Mobile Applications Developer
1870,distro making,cloud computing,medium,programming,developer,Finance,no,Mobile Applications Developer
1871,python,game development,medium,hacking,security,Cloud Services,yes,Mobile Applications Developer
1872,python,game development,poor,cloud computing,developer,Cloud Services,no,Mobile Applications Developer
1873,shell programming,web technologies,medium,networks,cloud computing,Cloud Services,no,Mobile Applications Developer
1874,information security,testing,excellent,programming,security,BPA,no,Mobile Applications Developer
1875,shell programming,hacking,excellent,hacking,cloud computing,Product based,no,Mobile Applications Developer
1876,app development,data science,poor,Software Engineering,system developer,Product based,no,Mobile Applications Developer
1877,python,database security,excellent,cloud computing,system developer,Finance,yes,Mobile Applications Developer
1878,machine learning,cloud computing,excellent,data engineering,security,Product based,no,Mobile Applications Developer
1879,machine learning,game development,excellent,networks,developer,Cloud Services,no,Mobile Applications Developer
1880,app development,system designing,excellent,parallel computing,developer,Cloud Services,no,Mobile Applications Developer
1881,python,system designing,medium,IOT,system developer,BPA,no,Mobile Applications Developer
1882,app development,system designing,medium,programming,developer,Product based,yes,Mobile Applications Developer
1883,information security,web technologies,medium,networks,testing,BPA,no,Mobile Applications Developer
1884,information security,database security,medium,parallel computing,developer,product development,yes,Mobile Applications Developer
1885,full stack,hacking,medium,programming,developer,Web Services,no,Mobile Applications Developer
1886,full stack,web technologies,medium,hacking,Business process analyst,SAaS services,no,Mobile Applications Developer
1887,hadoop,system designing,poor,networks,cloud computing,Service Based,no,Mobile Applications Developer
1888,information security,data science,excellent,Computer Architecture,security,product development,no,Mobile Applications Developer
1889,python,hacking,poor,Computer Architecture,testing,Finance,no,Mobile Applications Developer
1890,shell programming,testing,medium,cloud computing,security,Finance,no,Mobile Applications Developer
1891,information security,hacking,medium,hacking,testing,Finance,yes,Mobile Applications Developer
1892,full stack,database security,medium,IOT,Business process analyst,Testing and Maintainance Services,yes,Mobile Applications Developer
1893,python,testing,poor,cloud computing,testing,Finance,yes,Mobile Applications Developer
1894,r programming,cloud computing,excellent,hacking,Business process analyst,Product based,yes,Mobile Applications Developer
1895,full stack,game development,excellent,Software Engineering,developer,BPA,yes,Mobile Applications Developer
1896,hadoop,testing,excellent,Management,Business process analyst,Cloud Services,no,Mobile Applications Developer
1897,hadoop,data science,poor,parallel computing,security,BPA,no,Mobile Applications Developer
1898,full stack,web technologies,excellent,cloud computing,developer,Web Services,no,Mobile Applications Developer
1899,full stack,cloud computing,poor,Computer Architecture,system developer,Finance,yes,Mobile Applications Developer
1900,machine learning,hacking,medium,hacking,Business process analyst,Testing and Maintainance Services,yes,Mobile Applications Developer
1901,distro making,cloud computing,excellent,programming,cloud computing,BPA,no,Mobile Applications Developer
1902,machine learning,database security,poor,Computer Architecture,system developer,Testing and Maintainance Services,no,Mobile Applications Developer
1903,shell programming,testing,medium,hacking,system developer,Web Services,yes,Mobile Applications Developer
1904,full stack,hacking,poor,IOT,testing,Product based,yes,Mobile Applications Developer
1905,python,web technologies,excellent,hacking,testing,product development,no,Mobile Applications Developer
1906,machine learning,system designing,poor,Software Engineering,security,BPA,yes,Mobile Applications Developer
1907,shell programming,hacking,medium,programming,testing,Cloud Services,yes,Mobile Applications Developer
1908,hadoop,testing,poor,programming,security,Finance,no,Mobile Applications Developer
1909,hadoop,database security,poor,cloud computing,cloud computing,Testing and Maintainance Services,no,Mobile Applications Developer
1910,app development,testing,poor,hacking,system developer,Finance,no,Mobile Applications Developer
1911,hadoop,web technologies,poor,data engineering,Business process analyst,Web Services,yes,Mobile Applications Developer
1912,r programming,system designing,excellent,networks,Business process analyst,BPA,yes,Mobile Applications Developer
1913,hadoop,database security,medium,networks,testing,Testing and Maintainance Services,yes,Mobile Applications Developer
1914,machine learning,testing,poor,Computer Architecture,cloud computing,Sales and Marketing,yes,Mobile Applications Developer
1915,hadoop,database security,excellent,cloud computing,developer,Sales and Marketing,no,Mobile Applications Developer
1916,machine learning,web technologies,medium,programming,testing,Cloud Services,yes,Mobile Applications Developer
1917,full stack,system designing,excellent,Management,developer,Web Services,no,Mobile Applications Developer
1918,information security,system designing,medium,cloud computing,developer,Cloud Services,no,Mobile Applications Developer
1919,shell programming,data science,poor,data engineering,security,SAaS services,yes,Mobile Applications Developer
1920,distro making,web technologies,excellent,parallel computing,system developer,BPA,yes,Mobile Applications Developer
1921,hadoop,system designing,medium,programming,security,Service Based,yes,Mobile Applications Developer
1922,machine learning,testing,poor,hacking,system developer,SAaS services,yes,Mobile Applications Developer
1923,machine learning,hacking,excellent,Management,testing,product development,yes,Mobile Applications Developer
1924,information security,web technologies,excellent,data engineering,developer,product development,yes,Mobile Applications Developer
1925,app development,system designing,medium,Computer Architecture,testing,product development,yes,Mobile Applications Developer
1926,information security,data science,poor,Software Engineering,developer,Cloud Services,no,Mobile Applications Developer
1927,machine learning,cloud computing,poor,hacking,developer,Service Based,no,Mobile Applications Developer
1928,shell programming,hacking,poor,programming,developer,BPA,no,Mobile Applications Developer
1929,hadoop,web technologies,medium,cloud computing,security,Product based,no,Mobile Applications Developer
1930,app development,web technologies,poor,programming,cloud computing,SAaS services,yes,Mobile Applications Developer
1931,r programming,system designing,excellent,Software Engineering,security,Finance,no,Mobile Applications Developer
1932,information security,data science,poor,data engineering,developer,Cloud Services,yes,Mobile Applications Developer
1933,distro making,data science,medium,programming,security,Service Based,no,Mobile Applications Developer
1934,full stack,hacking,excellent,cloud computing,system developer,Web Services,yes,Mobile Applications Developer
1935,python,system designing,poor,data engineering,developer,Cloud Services,no,Mobile Applications Developer
1936,app development,data science,medium,programming,Business process analyst,BPA,yes,Mobile Applications Developer
1937,hadoop,data science,excellent,parallel computing,developer,product development,yes,Mobile Applications Developer
1938,python,hacking,excellent,IOT,Business process analyst,Cloud Services,yes,Mobile Applications Developer
1939,app development,testing,excellent,hacking,security,BPA,yes,Mobile Applications Developer
1940,r programming,game development,medium,hacking,developer,Finance,yes,Mobile Applications Developer
1941,shell programming,data science,medium,Management,system developer,Testing and Maintainance Services,no,Mobile Applications Developer
1942,r programming,testing,medium,parallel computing,developer,Testing and Maintainance Services,yes,Mobile Applications Developer
1943,information security,game development,poor,IOT,developer,Web Services,no,Mobile Applications Developer
1944,machine learning,database security,poor,programming,testing,Testing and Maintainance Services,no,Mobile Applications Developer
1945,r programming,hacking,medium,cloud computing,cloud computing,Web Services,yes,Mobile Applications Developer
1946,distro making,testing,poor,cloud computing,developer,Service Based,no,Mobile Applications Developer
1947,shell programming,web technologies,excellent,hacking,system developer,Testing and Maintainance Services,no,Mobile Applications Developer
1948,python,database security,poor,data engineering,security,Service Based,yes,Mobile Applications Developer
1949,information security,system designing,excellent,cloud computing,system developer,Finance,no,Mobile Applications Developer
1950,information security,game development,excellent,parallel computing,Business process analyst,product development,no,Mobile Applications Developer
1951,shell programming,data science,excellent,IOT,system developer,Sales and Marketing,yes,Mobile Applications Developer
1952,shell programming,database security,medium,IOT,system developer,Finance,no,Mobile Applications Developer
1953,machine learning,cloud computing,medium,cloud computing,testing,Sales and Marketing,no,Mobile Applications Developer
1954,full stack,data science,excellent,Software Engineering,system developer,Web Services,no,Mobile Applications Developer
1955,r programming,game development,medium,data engineering,system developer,Cloud Services,no,Mobile Applications Developer
1956,machine learning,database security,medium,Management,Business process analyst,Web Services,no,Mobile Applications Developer
1957,shell programming,system designing,medium,cloud computing,cloud computing,SAaS services,no,Mobile Applications Developer
1958,app development,game development,medium,programming,security,Web Services,no,Mobile Applications Developer
1959,distro making,testing,excellent,networks,testing,SAaS services,yes,Mobile Applications Developer
1960,full stack,game development,excellent,data engineering,system developer,Sales and Marketing,no,Mobile Applications Developer
1961,r programming,data science,medium,programming,developer,Finance,no,Mobile Applications Developer
1962,python,hacking,poor,programming,Business process analyst,Testing and Maintainance Services,no,Mobile Applications Developer
1963,app development,game development,medium,IOT,Business process analyst,SAaS services,yes,Mobile Applications Developer
1964,full stack,web technologies,medium,Management,cloud computing,Sales and Marketing,no,Mobile Applications Developer
1965,information security,testing,medium,parallel computing,security,product development,no,Mobile Applications Developer
1966,r programming,testing,poor,hacking,cloud computing,Finance,yes,Mobile Applications Developer
1967,full stack,hacking,medium,hacking,system developer,BPA,yes,Mobile Applications Developer
1968,information security,testing,medium,IOT,cloud computing,BPA,yes,Mobile Applications Developer
1969,distro making,database security,poor,cloud computing,security,Service Based,no,Mobile Applications Developer
1970,full stack,hacking,excellent,IOT,developer,Product based,yes,Mobile Applications Developer
1971,shell programming,testing,poor,programming,cloud computing,product development,no,Mobile Applications Developer
1972,information security,data science,poor,hacking,testing,SAaS services,yes,Mobile Applications Developer
1973,shell programming,game development,poor,networks,system developer,Testing and Maintainance Services,no,Mobile Applications Developer
1974,machine learning,data science,medium,cloud computing,security,Sales and Marketing,yes,Mobile Applications Developer
1975,shell programming,system designing,excellent,hacking,security,Testing and Maintainance Services,no,Mobile Applications Developer
1976,distro making,game development,medium,Management,security,Service Based,no,Mobile Applications Developer
1977,python,hacking,excellent,Management,Business process analyst,Product based,no,Mobile Applications Developer
1978,full stack,cloud computing,medium,data engineering,system developer,SAaS services,no,Mobile Applications Developer
1979,information security,cloud computing,medium,data engineering,developer,product development,yes,Mobile Applications Developer
1980,machine learning,system designing,excellent,cloud computing,security,Web Services,no,Mobile Applications Developer
1981,machine learning,web technologies,poor,Management,developer,BPA,no,Mobile Applications Developer
1982,full stack,system designing,excellent,programming,security,Service Based,yes,Mobile Applications Developer
1983,python,game development,medium,hacking,Business process analyst,Finance,no,Mobile Applications Developer
1984,distro making,game development,medium,IOT,developer,Service Based,no,Mobile Applications Developer
1985,machine learning,hacking,excellent,networks,Business process analyst,Service Based,yes,Mobile Applications Developer
1986,full stack,hacking,medium,hacking,security,SAaS services,yes,Mobile Applications Developer
1987,information security,cloud computing,poor,programming,developer,SAaS services,no,Mobile Applications Developer
1988,information security,system designing,poor,networks,security,Cloud Services,no,Mobile Applications Developer
1989,r programming,testing,medium,networks,developer,Web Services,no,Mobile Applications Developer
1990,hadoop,web technologies,excellent,IOT,cloud computing,SAaS services,yes,Mobile Applications Developer
1991,python,system designing,excellent,cloud computing,Business process analyst,Testing and Maintainance Services,no,Mobile Applications Developer
1992,app development,web technologies,poor,networks,cloud computing,Testing and Maintainance Services,yes,Mobile Applications Developer
1993,python,web technologies,poor,Management,Business process analyst,Finance,yes,Mobile Applications Developer
1994,app development,cloud computing,poor,IOT,cloud computing,SAaS services,no,Mobile Applications Developer
1995,python,game development,excellent,programming,developer,Product based,no,Mobile Applications Developer
1996,shell programming,web technologies,poor,parallel computing,developer,Testing and Maintainance Services,no,Mobile Applications Developer
1997,app development,data science,excellent,data engineering,Business process analyst,Cloud Services,yes,Mobile Applications Developer
1998,information security,web technologies,excellent,Computer Architecture,Business process analyst,SAaS services,yes,Mobile Applications Developer
1999,shell programming,web technologies,medium,hacking,security,Web Services,no,Mobile Applications Developer
2000,full stack,cloud computing,medium,Software Engineering,cloud computing,product development,yes,Mobile Applications Developer
2001,r programming,game development,poor,programming,security,Service Based,no,Mobile Applications Developer
2002,r programming,system designing,excellent,networks,testing,product development,yes,Mobile Applications Developer
2003,hadoop,system designing,excellent,IOT,developer,Finance,no,Mobile Applications Developer
2004,hadoop,system designing,medium,Computer Architecture,cloud computing,product development,no,Mobile Applications Developer
2005,distro making,game development,poor,hacking,system developer,product development,yes,Mobile Applications Developer
2006,r programming,database security,excellent,Software Engineering,security,BPA,yes,Mobile Applications Developer
2007,information security,game development,medium,cloud computing,security,BPA,no,Mobile Applications Developer
2008,information security,database security,medium,Software Engineering,developer,Web Services,no,Mobile Applications Developer
2009,hadoop,database security,excellent,data engineering,system developer,BPA,no,Mobile Applications Developer
2010,shell programming,game development,excellent,cloud computing,system developer,Service Based,no,Mobile Applications Developer
2011,app development,hacking,excellent,hacking,system developer,Sales and Marketing,yes,Mobile Applications Developer
2012,hadoop,cloud computing,medium,parallel computing,system developer,Sales and Marketing,no,Mobile Applications Developer
2013,app development,hacking,excellent,cloud computing,developer,BPA,yes,Mobile Applications Developer
2014,distro making,cloud computing,medium,Management,Business process analyst,BPA,yes,Mobile Applications Developer
2015,hadoop,system designing,poor,Management,cloud computing,BPA,no,Mobile Applications Developer
2016,full stack,game development,poor,IOT,system developer,Service Based,yes,Mobile Applications Developer
2017,r programming,web technologies,poor,cloud computing,security,SAaS services,yes,Mobile Applications Developer
2018,information security,system designing,medium,programming,testing,Web Services,yes,Mobile Applications Developer
2019,r programming,system designing,poor,cloud computing,testing,Cloud Services,no,Mobile Applications Developer
2020,app development,database security,poor,networks,testing,Testing and Maintainance Services,no,Mobile Applications Developer
2021,app development,game development,excellent,networks,security,Cloud Services,no,Mobile Applications Developer
2022,full stack,system designing,excellent,data engineering,cloud computing,SAaS services,yes,Mobile Applications Developer
2023,r programming,testing,excellent,cloud computing,Business process analyst,Sales and Marketing,no,Mobile Applications Developer
2024,machine learning,game development,medium,IOT,Business process analyst,product development,no,Mobile Applications Developer
2025,full stack,data science,poor,Software Engineering,cloud computing,product development,no,Mobile Applications Developer
2026,python,system designing,excellent,cloud computing,testing,BPA,no,Mobile Applications Developer
2027,hadoop,system designing,medium,programming,developer,BPA,no,Mobile Applications Developer
2028,machine learning,data science,excellent,Computer Architecture,cloud computing,BPA,yes,Mobile Applications Developer
2029,app development,hacking,poor,programming,security,Product based,yes,Mobile Applications Developer
2030,distro making,web technologies,medium,data engineering,Business process analyst,BPA,no,Mobile Applications Developer
2031,distro making,testing,excellent,data engineering,security,product development,yes,Mobile Applications Developer
2032,r programming,web technologies,excellent,data engineering,Business process analyst,SAaS services,yes,Mobile Applications Developer
2033,information security,cloud computing,excellent,Software Engineering,cloud computing,Sales and Marketing,yes,Mobile Applications Developer
2034,machine learning,testing,medium,hacking,system developer,BPA,yes,Mobile Applications Developer
2035,distro making,database security,poor,cloud computing,system developer,Service Based,no,Mobile Applications Developer
2036,information security,data science,poor,Computer Architecture,testing,Sales and Marketing,no,Mobile Applications Developer
2037,machine learning,hacking,medium,hacking,Business process analyst,BPA,no,Mobile Applications Developer
2038,distro making,system designing,medium,Software Engineering,cloud computing,Product based,no,Mobile Applications Developer
2039,distro making,hacking,excellent,Computer Architecture,security,Web Services,yes,Mobile Applications Developer
2040,distro making,hacking,excellent,data engineering,developer,SAaS services,yes,Mobile Applications Developer
2041,shell programming,database security,poor,programming,testing,Web Services,no,Mobile Applications Developer
2042,app development,web technologies,medium,Software Engineering,developer,BPA,yes,Mobile Applications Developer
2043,full stack,cloud computing,poor,cloud computing,cloud computing,Testing and Maintainance Services,yes,Mobile Applications Developer
2044,distro making,web technologies,poor,data engineering,developer,Finance,no,Mobile Applications Developer
2045,machine learning,game development,excellent,parallel computing,Business process analyst,Cloud Services,no,Mobile Applications Developer
2046,app development,game development,excellent,Management,Business process analyst,Sales and Marketing,no,Mobile Applications Developer
2047,information security,data science,excellent,Computer Architecture,testing,Service Based,no,Mobile Applications Developer
2048,shell programming,cloud computing,medium,IOT,system developer,Finance,yes,Mobile Applications Developer
2049,distro making,system designing,medium,parallel computing,system developer,BPA,no,Mobile Applications Developer
2050,information security,web technologies,poor,hacking,security,Cloud Services,yes,Mobile Applications Developer
2051,machine learning,data science,poor,programming,security,BPA,no,Mobile Applications Developer
2052,shell programming,testing,medium,cloud computing,Business process analyst,Sales and Marketing,yes,Mobile Applications Developer
2053,distro making,database security,poor,data engineering,security,Testing and Maintainance Services,no,Mobile Applications Developer
2054,machine learning,system designing,excellent,hacking,cloud computing,product development,no,Mobile Applications Developer
2055,shell programming,web technologies,medium,programming,security,Testing and Maintainance Services,yes,Mobile Applications Developer
2056,full stack,database security,poor,programming,system developer,Finance,yes,Mobile Applications Developer
2057,information security,database security,medium,Computer Architecture,testing,Cloud Services,no,Mobile Applications Developer
2058,information security,system designing,medium,networks,system developer,Testing and Maintainance Services,no,Mobile Applications Developer
2059,machine learning,system designing,poor,Computer Architecture,developer,Finance,no,Mobile Applications Developer
2060,app development,system designing,poor,Software Engineering,system developer,Web Services,yes,Mobile Applications Developer
2061,information security,database security,poor,Computer Architecture,developer,Finance,no,Mobile Applications Developer
2062,r programming,data science,medium,hacking,system developer,Finance,yes,Mobile Applications Developer
2063,hadoop,web technologies,poor,networks,testing,Cloud Services,yes,Mobile Applications Developer
2064,information security,database security,medium,networks,Business process analyst,Service Based,no,Mobile Applications Developer
2065,hadoop,web technologies,medium,parallel computing,security,Service Based,yes,Mobile Applications Developer
2066,python,testing,poor,networks,developer,Web Services,yes,Mobile Applications Developer
2067,r programming,testing,excellent,hacking,security,Finance,no,Mobile Applications Developer
2068,r programming,data science,poor,parallel computing,testing,BPA,yes,Mobile Applications Developer
2069,information security,data science,poor,parallel computing,Business process analyst,Web Services,no,Mobile Applications Developer
2070,shell programming,game development,excellent,hacking,Business process analyst,Web Services,no,Mobile Applications Developer
2071,r programming,system designing,medium,IOT,Business process analyst,SAaS services,yes,Mobile Applications Developer
2072,full stack,cloud computing,excellent,Computer Architecture,Business process analyst,Cloud Services,yes,Mobile Applications Developer
2073,r programming,testing,medium,hacking,testing,Testing and Maintainance Services,yes,Mobile Applications Developer
2074,information security,hacking,poor,parallel computing,Business process analyst,Testing and Maintainance Services,yes,Mobile Applications Developer
2075,hadoop,data science,medium,programming,Business process analyst,BPA,no,Mobile Applications Developer
2076,hadoop,system designing,poor,IOT,developer,Product based,no,Mobile Applications Developer
2077,r programming,game development,poor,Software Engineering,security,Cloud Services,yes,Mobile Applications Developer
2078,app development,testing,excellent,Management,cloud computing,Sales and Marketing,no,Mobile Applications Developer
2079,distro making,testing,medium,networks,developer,SAaS services,yes,Mobile Applications Developer
2080,distro making,testing,excellent,programming,system developer,BPA,yes,Mobile Applications Developer
2081,full stack,system designing,medium,IOT,Business process analyst,Web Services,no,Mobile Applications Developer
2082,distro making,hacking,poor,data engineering,developer,BPA,yes,Mobile Applications Developer
2083,machine learning,web technologies,excellent,Computer Architecture,cloud computing,Testing and Maintainance Services,yes,Mobile Applications Developer
2084,hadoop,data science,poor,Management,cloud computing,product development,no,Mobile Applications Developer
2085,hadoop,database security,excellent,Computer Architecture,cloud computing,Testing and Maintainance Services,yes,Mobile Applications Developer
2086,r programming,game development,excellent,Software Engineering,developer,Product based,yes,Mobile Applications Developer
2087,app development,game development,poor,parallel computing,system developer,SAaS services,yes,Mobile Applications Developer
2088,distro making,testing,excellent,Computer Architecture,security,product development,yes,Mobile Applications Developer
2089,app development,web technologies,medium,data engineering,testing,Service Based,yes,Mobile Applications Developer
2090,r programming,cloud computing,poor,Computer Architecture,Business process analyst,Service Based,yes,Mobile Applications Developer
2091,distro making,testing,medium,cloud computing,cloud computing,Cloud Services,no,Mobile Applications Developer
2092,information security,system designing,medium,cloud computing,Business process analyst,Testing and Maintainance Services,no,Mobile Applications Developer
2093,full stack,web technologies,excellent,networks,security,Testing and Maintainance Services,yes,Mobile Applications Developer
2094,machine learning,game development,poor,Computer Architecture,security,Cloud Services,yes,Mobile Applications Developer
2095,distro making,cloud computing,excellent,IOT,testing,Finance,no,Mobile Applications Developer
2096,app development,hacking,excellent,networks,security,Sales and Marketing,no,Mobile Applications Developer
2097,distro making,hacking,medium,Software Engineering,Business process analyst,Service Based,yes,Mobile Applications Developer
2098,shell programming,cloud computing,excellent,hacking,cloud computing,Web Services,no,Mobile Applications Developer
2099,hadoop,data science,medium,IOT,Business process analyst,BPA,no,Mobile Applications Developer
2100,full stack,testing,poor,Computer Architecture,testing,Testing and Maintainance Services,no,Mobile Applications Developer
2101,machine learning,game development,excellent,networks,system developer,Product based,no,Mobile Applications Developer
2102,app development,data science,poor,Software Engineering,testing,Cloud Services,yes,Mobile Applications Developer
2103,r programming,game development,excellent,Computer Architecture,developer,Web Services,no,Mobile Applications Developer
2104,hadoop,hacking,excellent,IOT,security,Web Services,yes,Mobile Applications Developer
